date,contract,board,rank,member_enc,qty,chg,member
2024-08-26,CU2409,volume,1,%D6%D0%D0%C5%C6%DA%BB%F5,12139,1914.0,中信期货
2024-08-26,CU2409,volume,2,%B6%AB%D6%A4%C6%DA%BB%F5,11474,3203.0,东证期货
2024-08-26,CU2409,volume,3,%B9%FA%CC%A9%BE%FD%B0%B2,8275,1112.0,国泰君安
2024-08-26,CU2409,volume,4,%BD%F0%C8%F0%C6%DA%BB%F5,7672,2623.0,金瑞期货
2024-08-26,CU2409,volume,5,%BA%A3%CD%A8%C6%DA%BB%F5,5018,919.0,海通期货
2024-08-26,CU2409,volume,6,%B9%FA%CD%B6%B0%B2%D0%C5,3779,3399.0,国投安信
2024-08-26,CU2409,volume,7,%B7%BD%D5%FD%D6%D0%C6%DA,3434,939.0,方正中期
2024-08-26,CU2409,volume,8,%D2%F8%BA%D3%C6%DA%BB%F5,3198,1817.0,银河期货
2024-08-26,CU2409,volume,9,%BB%AA%CC%A9%C6%DA%BB%F5,3007,-2038.0,华泰期货
2024-08-26,CU2409,volume,10,%D5%E3%C9%CC%C6%DA%BB%F5,2847,1579.0,浙商期货
2024-08-26,CU2409,volume,11,%D6%D0%CC%A9%C6%DA%BB%F5,2719,336.0,中泰期货
2024-08-26,CU2409,volume,12,%CE%E5%BF%F3%C6%DA%BB%F5,2306,-881.0,五矿期货
2024-08-26,CU2409,volume,13,%C4%CF%BB%AA%C6%DA%BB%F5,1886,-196.0,南华期货
2024-08-26,CU2409,volume,14,%CD%AD%B9%DA%BD%F0%D4%B4,1881,452.0,铜冠金源
2024-08-26,CU2409,volume,15,%D3%C0%B0%B2%C6%DA%BB%F5,1858,1035.0,永安期货
2024-08-26,CU2409,volume,16,%B9%FA%D0%C5%C6%DA%BB%F5,1765,88.0,国信期货
2024-08-26,CU2409,volume,17,%B1%A6%B3%C7%C6%DA%BB%F5,1680,1200.0,宝城期货
2024-08-26,CU2409,volume,18,%C9%EA%CD%F2%C6%DA%BB%F5,1654,634.0,申万期货
2024-08-26,CU2409,volume,19,%BD%F0%D4%AA%C6%DA%BB%F5,1610,1263.0,金元期货
2024-08-26,CU2409,volume,20,%B9%E3%B7%A2%C6%DA%BB%F5,1586,575.0,广发期货
2024-08-26,CU2409,volume,999,TOTAL,79788,,TOTAL
2024-08-26,CU2409,long,1,%CD%AD%B9%DA%BD%F0%D4%B4,8458,-394.0,铜冠金源
2024-08-26,CU2409,long,2,%BD%F0%C8%F0%C6%DA%BB%F5,8072,367.0,金瑞期货
2024-08-26,CU2409,long,3,%B9%FA%CC%A9%BE%FD%B0%B2,7321,-432.0,国泰君安
2024-08-26,CU2409,long,4,%BD%A8%D0%C5%C6%DA%BB%F5,5930,-106.0,建信期货
2024-08-26,CU2409,long,5,%D6%D0%D0%C5%C6%DA%BB%F5,5587,-1014.0,中信期货
2024-08-26,CU2409,long,6,%B6%AB%D6%A4%C6%DA%BB%F5,4481,1027.0,东证期货
2024-08-26,CU2409,long,7,%CE%E5%BF%F3%C6%DA%BB%F5,3413,-784.0,五矿期货
2024-08-26,CU2409,long,8,%D6%D0%C1%B8%C6%DA%BB%F5,3246,-215.0,中粮期货
2024-08-26,CU2409,long,9,%B7%BD%D5%FD%D6%D0%C6%DA,2952,-1911.0,方正中期
2024-08-26,CU2409,long,10,%B9%E3%D6%DD%C6%DA%BB%F5,2764,-248.0,广州期货
2024-08-26,CU2409,long,11,%D6%D0%BA%BD%C6%DA%BB%F5,2742,-93.0,中航期货
2024-08-26,CU2409,long,12,%B1%A6%B3%C7%C6%DA%BB%F5,2283,-381.0,宝城期货
2024-08-26,CU2409,long,13,%BA%EB%D2%B5%C6%DA%BB%F5,2188,-140.0,弘业期货
2024-08-26,CU2409,long,14,%D2%F8%BA%D3%C6%DA%BB%F5,2037,12.0,银河期货
2024-08-26,CU2409,long,15,%B9%E2%B4%F3%C6%DA%BB%F5,1925,-437.0,光大期货
2024-08-26,CU2409,long,16,%BB%AA%CC%A9%C6%DA%BB%F5,1740,-326.0,华泰期货
2024-08-26,CU2409,long,17,%B9%E3%B7%A2%C6%DA%BB%F5,1444,256.0,广发期货
2024-08-26,CU2409,long,18,%B6%AB%CE%E2%C6%DA%BB%F5,1416,-63.0,东吴期货
2024-08-26,CU2409,long,19,%D6%D0%D0%C5%BD%A8%CD%B6,1403,55.0,中信建投
2024-08-26,CU2409,long,20,%C8%F0%B4%EF%C6%DA%BB%F5,1395,-10.0,瑞达期货
2024-08-26,CU2409,long,999,TOTAL,70797,,TOTAL
2024-08-26,CU2409,short,1,%BD%F0%C8%F0%C6%DA%BB%F5,11052,-3353.0,金瑞期货
2024-08-26,CU2409,short,2,%D6%D0%D0%C5%C6%DA%BB%F5,10096,-1673.0,中信期货
2024-08-26,CU2409,short,3,%B9%FA%CC%A9%BE%FD%B0%B2,4807,-641.0,国泰君安
2024-08-26,CU2409,short,4,%CE%E5%BF%F3%C6%DA%BB%F5,4096,-215.0,五矿期货
2024-08-26,CU2409,short,5,%C9%BD%BD%F0%C6%DA%BB%F5,4045,-201.0,山金期货
2024-08-26,CU2409,short,6,%B6%AB%D6%A4%C6%DA%BB%F5,3556,149.0,东证期货
2024-08-26,CU2409,short,7,%D2%F8%BA%D3%C6%DA%BB%F5,2989,-265.0,银河期货
2024-08-26,CU2409,short,8,%BB%AA%CC%A9%C6%DA%BB%F5,2828,-281.0,华泰期货
2024-08-26,CU2409,short,9,%D6%D0%CC%A9%C6%DA%BB%F5,2653,139.0,中泰期货
2024-08-26,CU2409,short,10,%B9%FA%CD%B6%B0%B2%D0%C5,2356,-475.0,国投安信
2024-08-26,CU2409,short,11,%CD%AD%B9%DA%BD%F0%D4%B4,2235,293.0,铜冠金源
2024-08-26,CU2409,short,12,%B9%FA%C3%B3%C6%DA%BB%F5,2134,-22.0,国贸期货
2024-08-26,CU2409,short,13,%D6%D0%C1%B8%C6%DA%BB%F5,2060,4.0,中粮期货
2024-08-26,CU2409,short,14,%D4%C6%B3%BF%C6%DA%BB%F5,1762,-59.0,云晨期货
2024-08-26,CU2409,short,15,%C4%CF%BB%AA%C6%DA%BB%F5,1679,202.0,南华期货
2024-08-26,CU2409,short,16,%B9%E2%B4%F3%C6%DA%BB%F5,1462,468.0,光大期货
2024-08-26,CU2409,short,17,%D2%BB%B5%C2%C6%DA%BB%F5,1413,-718.0,一德期货
2024-08-26,CU2409,short,18,%D3%C0%B0%B2%C6%DA%BB%F5,1385,-774.0,永安期货
