member,date,contract,long_oi,short_oi
金瑞期货,2026-09-03,CU2701,2676,5499
金瑞期货,2026-09-03,CU2609,4715,5795
金瑞期货,2026-09-03,CU2612,3195,8903
金瑞期货,2026-09-03,CU2703,1656,2431
金瑞期货,2026-09-03,CU2610,7850,15095
金瑞期货,2026-09-03,CU2702,922,274
金瑞期货,2026-09-03,CU2611,3270,7306
金瑞期货,2026-09-02,CU2609,5180,6125
金瑞期货,2026-09-02,CU2701,2683,5498
金瑞期货,2026-09-02,CU2703,1648,2428
金瑞期货,2026-09-02,CU2612,3197,8893
金瑞期货,2026-09-02,CU2702,930,278
金瑞期货,2026-09-02,CU2610,6613,14890
金瑞期货,2026-09-02,CU2611,3292,6961
金瑞期货,2026-09-01,CU2609,5595,7935
金瑞期货,2026-09-01,CU2701,2473,5329
金瑞期货,2026-09-01,CU2703,1572,2088
金瑞期货,2026-09-01,CU2612,3136,8868
金瑞期货,2026-09-01,CU2611,3260,6725
金瑞期货,2026-09-01,CU2702,692,90
金瑞期货,2026-09-01,CU2610,4371,15506
金瑞期货,2026-08-31,CU2609,6440,8985
金瑞期货,2026-08-31,CU2701,2470,5331
金瑞期货,2026-08-31,CU2703,1582,2089
金瑞期货,2026-08-31,CU2612,3209,8860
金瑞期货,2026-08-31,CU2702,712,101
金瑞期货,2026-08-31,CU2611,3272,5996
金瑞期货,2026-08-31,CU2610,3928,14224
金瑞期货,2026-08-28,CU2609,8976,11404
金瑞期货,2026-08-28,CU2701,2502,5332
金瑞期货,2026-08-28,CU2703,1571,2091
金瑞期货,2026-08-28,CU2612,3209,8833
金瑞期货,2026-08-28,CU2611,3038,4985
金瑞期货,2026-08-28,CU2702,650,92
金瑞期货,2026-08-28,CU2610,3849,14934
金瑞期货,2026-08-27,CU2609,9907,12117
金瑞期货,2026-08-27,CU2701,2485,5270
金瑞期货,2026-08-27,CU2703,1584,1735
金瑞期货,2026-08-27,CU2612,3106,8808
金瑞期货,2026-08-27,CU2611,2910,4292
金瑞期货,2026-08-27,CU2702,657,102
金瑞期货,2026-08-27,CU2610,3233,14417
金瑞期货,2026-08-26,CU2609,10862,12794
金瑞期货,2026-08-26,CU2701,2432,5276
金瑞期货,2026-08-26,CU2703,1569,1719
金瑞期货,2026-08-26,CU2612,3088,8825
金瑞期货,2026-08-26,CU2611,2860,4041
金瑞期货,2026-08-26,CU2610,3130,15714
金瑞期货,2026-08-25,CU2609,11435,13350
金瑞期货,2026-08-25,CU2701,2433,5330
金瑞期货,2026-08-25,CU2703,1558,1709
金瑞期货,2026-08-25,CU2612,3110,8646
金瑞期货,2026-08-25,CU2611,2998,3517
金瑞期货,2026-08-25,CU2610,3251,13955
金瑞期货,2026-08-24,CU2701,2433,5375
金瑞期货,2026-08-24,CU2609,11277,12862
金瑞期货,2026-08-24,CU2703,1163,1710
金瑞期货,2026-08-24,CU2612,3128,8633
金瑞期货,2026-08-24,CU2611,2917,3080
金瑞期货,2026-08-24,CU2610,3795,13065
金瑞期货,2026-08-21,CU2701,2443,5390
金瑞期货,2026-08-21,CU2609,12139,13657
金瑞期货,2026-08-21,CU2703,1172,1717
金瑞期货,2026-08-21,CU2612,3151,8607
金瑞期货,2026-08-21,CU2611,2947,2646
金瑞期货,2026-08-21,CU2610,3747,11299
金瑞期货,2026-08-20,CU2701,2424,5338
金瑞期货,2026-08-20,CU2609,11210,14120
金瑞期货,2026-08-20,CU2703,1178,1629
金瑞期货,2026-08-20,CU2612,3181,8494
金瑞期货,2026-08-20,CU2611,2975,2546
金瑞期货,2026-08-20,CU2610,3774,10457
金瑞期货,2026-08-19,CU2701,2444,5345
金瑞期货,2026-08-19,CU2609,11584,15124
金瑞期货,2026-08-19,CU2703,1174,1637
金瑞期货,2026-08-19,CU2612,3044,8361
金瑞期货,2026-08-19,CU2611,2981,2599
金瑞期货,2026-08-19,CU2610,3422,11039
金瑞期货,2026-08-18,CU2701,2393,5162
金瑞期货,2026-08-18,CU2609,11178,16238
金瑞期货,2026-08-18,CU2703,1151,1364
金瑞期货,2026-08-18,CU2612,2989,8318
金瑞期货,2026-08-18,CU2611,2688,2339
金瑞期货,2026-08-18,CU2610,4353,12193
金瑞期货,2026-08-17,CU2701,2374,5147
金瑞期货,2026-08-17,CU2612,2930,8103
金瑞期货,2026-08-17,CU2703,1132,1353
金瑞期货,2026-08-17,CU2609,9274,17617
金瑞期货,2026-08-17,CU2611,2690,2548
金瑞期货,2026-08-17,CU2610,3827,11889
金瑞期货,2026-08-14,CU2701,2360,5149
金瑞期货,2026-08-14,CU2611,2768,2524
金瑞期货,2026-08-14,CU2612,2868,7991
