date,contract,volume,long_oi,short_oi,settle
2026-09-17,AL2610,167196,98442,111777,24210
2026-09-17,AL2610,167196,98442,111777,24210
2026-09-17,AL2610,167196,98442,111777,24210
2026-09-17,AL2611,201991,179564,185212,24220
2026-09-17,AL2611,201991,179564,185212,24220
2026-09-17,AL2611,201991,179564,185212,24220
2026-09-17,AL2612,49420,72829,72923,24195
2026-09-17,AL2612,49420,72829,72923,24195
2026-09-17,AL2612,49420,72829,72923,24195
2026-09-17,AL2701,15463,36096,35332,24145
2026-09-17,AL2701,15463,36096,35332,24145
2026-09-17,AL2701,15463,36096,35332,24145
2026-09-17,AL2702,5846,16931,17912,24140
2026-09-17,AL2702,5846,16931,17912,24140
2026-09-17,AL2702,5846,16931,17912,24140
2026-09-17,AL2703,3232,15024,15872,24145
2026-09-17,AL2703,3232,15024,15872,24145
2026-09-17,AL2703,3232,15024,15872,24145
2026-09-16,AL2610,177942,106979,120202,24135
2026-09-16,AL2610,177942,106979,120202,24135
2026-09-16,AL2610,177942,106979,120202,24135
2026-09-16,AL2611,160743,174526,177352,24130
2026-09-16,AL2611,160743,174526,177352,24130
2026-09-16,AL2611,160743,174526,177352,24130
2026-09-16,AL2612,35877,67897,68342,24115
2026-09-16,AL2612,35877,67897,68342,24115
2026-09-16,AL2612,35877,67897,68342,24115
2026-09-16,AL2701,15109,34552,34816,24085
2026-09-16,AL2701,15109,34552,34816,24085
2026-09-16,AL2701,15109,34552,34816,24085
2026-09-16,AL2702,8548,16594,17912,24065
2026-09-16,AL2702,8548,16594,17912,24065
2026-09-16,AL2702,8548,16594,17912,24065
2026-09-16,AL2703,3542,14348,15131,24065
2026-09-16,AL2703,3542,14348,15131,24065
2026-09-16,AL2703,3542,14348,15131,24065
2026-09-15,AL2610,205036,116118,130529,24040
2026-09-15,AL2610,205036,116118,130529,24040
2026-09-15,AL2610,205036,116118,130529,24040
2026-09-15,AL2611,146564,163650,166143,24040
2026-09-15,AL2611,146564,163650,166143,24040
2026-09-15,AL2611,146564,163650,166143,24040
2026-09-15,AL2612,33097,64937,66110,24030
2026-09-15,AL2612,33097,64937,66110,24030
2026-09-15,AL2612,33097,64937,66110,24030
2026-09-15,AL2701,14002,33942,34450,24000
2026-09-15,AL2701,14002,33942,34450,24000
2026-09-15,AL2701,14002,33942,34450,24000
2026-09-15,AL2702,5943,15902,17091,23970
2026-09-15,AL2702,5943,15902,17091,23970
2026-09-15,AL2702,5943,15902,17091,23970
2026-09-15,AL2703,2802,13448,14321,23980
2026-09-15,AL2703,2802,13448,14321,23980
2026-09-15,AL2703,2802,13448,14321,23980
2026-09-14,AL2610,259349,134764,149035,24005
2026-09-14,AL2610,259349,134764,149035,24005
2026-09-14,AL2610,259349,134764,149035,24005
2026-09-14,AL2611,174908,157149,160395,24000
2026-09-14,AL2611,174908,157149,160395,24000
2026-09-14,AL2611,174908,157149,160395,24000
2026-09-14,AL2612,43130,62102,63820,23985
2026-09-14,AL2612,43130,62102,63820,23985
2026-09-14,AL2612,43130,62102,63820,23985
2026-09-14,AL2701,20598,33675,34160,23955
2026-09-14,AL2701,20598,33675,34160,23955
2026-09-14,AL2701,20598,33675,34160,23955
2026-09-14,AL2702,8211,15755,16646,23950
2026-09-14,AL2702,8211,15755,16646,23950
2026-09-14,AL2702,8211,15755,16646,23950
2026-09-14,AL2703,5071,13434,14236,23980
2026-09-14,AL2703,5071,13434,14236,23980
2026-09-14,AL2703,5071,13434,14236,23980
2026-09-11,AL2610,350989,145519,162855,24190
2026-09-11,AL2610,350989,145519,162855,24190
2026-09-11,AL2610,350989,145519,162855,24190
2026-09-11,AL2611,211049,155569,156137,24180
2026-09-11,AL2611,211049,155569,156137,24180
2026-09-11,AL2611,211049,155569,156137,24180
2026-09-11,AL2612,51684,56835,59528,24170
2026-09-11,AL2612,51684,56835,59528,24170
2026-09-11,AL2612,51684,56835,59528,24170
2026-09-11,AL2701,24517,31509,30949,24145
2026-09-11,AL2701,24517,31509,30949,24145
2026-09-11,AL2701,24517,31509,30949,24145
2026-09-11,AL2702,17239,15729,16356,24140
2026-09-11,AL2702,17239,15729,16356,24140
2026-09-11,AL2702,17239,15729,16356,24140
2026-09-10,AL2610,231062,158865,178206,24575
2026-09-10,AL2610,231062,158865,178206,24575
2026-09-10,AL2610,231062,158865,178206,24575
2026-09-10,AL2611,120269,157597,156877,24565
2026-09-10,AL2611,120269,157597,156877,24565
2026-09-10,AL2611,120269,157597,156877,24565
2026-09-10,AL2612,31273,56043,59527,24550
2026-09-10,AL2612,31273,56043,59527,24550
