date,contract,volume,long_oi,short_oi,settle
2026-09-16,ZN2610,210437,60414,57999,26145
2026-09-16,ZN2610,210437,60414,57999,26145
2026-09-16,ZN2610,210437,60414,57999,26145
2026-09-16,ZN2611,169970,100952,83630,26180
2026-09-16,ZN2611,169970,100952,83630,26180
2026-09-16,ZN2611,169970,100952,83630,26180
2026-09-16,ZN2612,48682,38472,31688,26200
2026-09-16,ZN2612,48682,38472,31688,26200
2026-09-16,ZN2612,48682,38472,31688,26200
2026-09-15,ZN2610,203963,66701,64099,26085
2026-09-15,ZN2610,203963,66701,64099,26085
2026-09-15,ZN2610,203963,66701,64099,26085
2026-09-15,ZN2611,162048,101014,82367,26115
2026-09-15,ZN2611,162048,101014,82367,26115
2026-09-15,ZN2611,162048,101014,82367,26115
2026-09-15,ZN2612,39612,37156,31193,26125
2026-09-15,ZN2612,39612,37156,31193,26125
2026-09-15,ZN2612,39612,37156,31193,26125
2026-09-14,ZN2610,251335,73159,70146,26500
2026-09-14,ZN2610,251335,73159,70146,26500
2026-09-14,ZN2610,251335,73159,70146,26500
2026-09-14,ZN2611,155376,104679,84497,26525
2026-09-14,ZN2611,155376,104679,84497,26525
2026-09-14,ZN2611,155376,104679,84497,26525
2026-09-14,ZN2612,49477,37301,31175,26530
2026-09-14,ZN2612,49477,37301,31175,26530
2026-09-14,ZN2612,49477,37301,31175,26530
2026-09-11,ZN2610,345824,81212,78947,26825
2026-09-11,ZN2610,345824,81212,78947,26825
2026-09-11,ZN2610,345824,81212,78947,26825
2026-09-11,ZN2611,185777,103742,82373,26855
2026-09-11,ZN2611,185777,103742,82373,26855
2026-09-11,ZN2611,185777,103742,82373,26855
2026-09-11,ZN2612,65194,36982,30631,26865
2026-09-11,ZN2612,65194,36982,30631,26865
2026-09-11,ZN2612,65194,36982,30631,26865
2026-09-10,ZN2610,282586,97388,93813,27650
2026-09-10,ZN2610,282586,97388,93813,27650
2026-09-10,ZN2610,282586,97388,93813,27650
2026-09-10,ZN2611,150600,109880,82558,27665
2026-09-10,ZN2611,150600,109880,82558,27665
2026-09-10,ZN2611,150600,109880,82558,27665
2026-09-10,ZN2612,46043,37953,30610,27655
2026-09-10,ZN2612,46043,37953,30610,27655
2026-09-10,ZN2612,46043,37953,30610,27655
2026-09-09,ZN2610,245107,103705,99867,27485
2026-09-09,ZN2610,245107,103705,99867,27485
2026-09-09,ZN2610,245107,103705,99867,27485
2026-09-09,ZN2611,128102,109424,81347,27520
2026-09-09,ZN2611,128102,109424,81347,27520
2026-09-09,ZN2611,128102,109424,81347,27520
2026-09-09,ZN2612,39906,36699,30468,27495
2026-09-09,ZN2612,39906,36699,30468,27495
2026-09-09,ZN2612,39906,36699,30468,27495
2026-09-08,ZN2610,271493,106208,100299,27430
2026-09-08,ZN2610,271493,106208,100299,27430
2026-09-08,ZN2610,271493,106208,100299,27430
2026-09-08,ZN2611,153060,105940,77864,27470
2026-09-08,ZN2611,153060,105940,77864,27470
2026-09-08,ZN2611,153060,105940,77864,27470
2026-09-08,ZN2612,47883,36253,30181,27440
2026-09-08,ZN2612,47883,36253,30181,27440
2026-09-08,ZN2612,47883,36253,30181,27440
2026-09-07,ZN2610,273014,104659,98863,26995
2026-09-07,ZN2610,273014,104659,98863,26995
2026-09-07,ZN2610,273014,104659,98863,26995
2026-09-07,ZN2611,137792,104118,75844,27040
2026-09-07,ZN2611,137792,104118,75844,27040
2026-09-07,ZN2611,137792,104118,75844,27040
2026-09-07,ZN2612,49336,33985,29069,27040
2026-09-07,ZN2612,49336,33985,29069,27040
2026-09-07,ZN2612,49336,33985,29069,27040
2026-09-04,ZN2610,203397,106750,99588,26745
2026-09-04,ZN2610,203397,106750,99588,26745
