date,contract,total_oi
2026-05-25,CU2606,99058
2026-05-25,CU2607,181754
2026-05-25,CU2608,88687
2026-05-25,CU2609,67554
2026-05-25,CU2610,20657
2026-05-25,CU2611,13288
2026-05-25,CU2612,27883
2026-05-25,CU2701,12052
2026-05-25,CU2702,4315
2026-05-25,CU2703,7760
2026-05-25,CU2704,5774
2026-05-25,CU2705,458
2026-05-26,CU2606,84385
2026-05-26,CU2607,181888
2026-05-26,CU2608,91765
2026-05-26,CU2609,69926
2026-05-26,CU2610,22383
2026-05-26,CU2611,13545
2026-05-26,CU2612,28401
2026-05-26,CU2701,12382
2026-05-26,CU2702,4341
2026-05-26,CU2703,8066
2026-05-26,CU2704,5945
2026-05-26,CU2705,502
2026-05-27,CU2606,72548
2026-05-27,CU2607,181426
2026-05-27,CU2608,99972
2026-05-27,CU2609,71650
2026-05-27,CU2610,22553
2026-05-27,CU2611,13451
2026-05-27,CU2612,28902
2026-05-27,CU2701,12380
2026-05-27,CU2702,4353
2026-05-27,CU2703,8426
2026-05-27,CU2704,6112
2026-05-27,CU2705,604
2026-05-28,CU2606,64333
2026-05-28,CU2607,177041
2026-05-28,CU2608,109612
2026-05-28,CU2609,72854
2026-05-28,CU2610,23760
2026-05-28,CU2611,13752
2026-05-28,CU2612,28951
2026-05-28,CU2701,12419
2026-05-28,CU2702,5047
2026-05-28,CU2703,9092
2026-05-28,CU2704,6393
2026-05-28,CU2705,700
2026-05-29,CU2606,54142
2026-05-29,CU2607,179433
2026-05-29,CU2608,111396
2026-05-29,CU2609,73537
2026-05-29,CU2610,23793
2026-05-29,CU2611,13645
2026-05-29,CU2612,29085
2026-05-29,CU2701,12446
2026-05-29,CU2702,5023
2026-05-29,CU2703,9014
2026-05-29,CU2704,6296
2026-05-29,CU2705,800
2026-06-01,CU2606,49970
2026-06-01,CU2607,177344
2026-06-01,CU2608,112948
2026-06-01,CU2609,75684
2026-06-01,CU2610,24265
2026-06-01,CU2611,13622
2026-06-01,CU2612,29244
2026-06-01,CU2701,11985
2026-06-01,CU2702,4973
2026-06-01,CU2703,8993
2026-06-01,CU2704,6273
2026-06-01,CU2705,797
2026-06-02,CU2606,42365
2026-06-02,CU2607,191344
2026-06-02,CU2608,117714
2026-06-02,CU2609,77947
2026-06-02,CU2610,25160
2026-06-02,CU2611,13752
2026-06-02,CU2612,29952
2026-06-02,CU2701,11530
2026-06-02,CU2702,4938
2026-06-02,CU2703,8938
2026-06-02,CU2704,6208
2026-06-02,CU2705,810
2026-06-03,CU2606,37890
2026-06-03,CU2607,187857
2026-06-03,CU2608,124549
2026-06-03,CU2609,80281
2026-06-03,CU2610,25043
2026-06-03,CU2611,13740
2026-06-03,CU2612,30609
2026-06-03,CU2701,11417
2026-06-03,CU2702,4926
2026-06-03,CU2703,9012
2026-06-03,CU2704,6245
2026-06-03,CU2705,823
2026-06-04,CU2606,35215
2026-06-04,CU2607,177479
2026-06-04,CU2608,121318
2026-06-04,CU2609,80194
2026-06-04,CU2610,25467
2026-06-04,CU2611,13900
2026-06-04,CU2612,31008
2026-06-04,CU2701,11381
