date,tonnes
2026-05-25,100265
2026-05-26,97188
2026-05-27,94930
2026-05-28,94480
2026-05-29,94496
2026-06-01,99543
2026-06-02,98629
2026-06-03,96391
2026-06-04,95855
2026-06-05,95092
2026-06-08,95044
2026-06-09,95543
2026-06-10,96087
2026-06-11,97391
2026-06-12,92382
2026-06-15,97281
2026-06-16,96434
2026-06-17,88114
2026-06-18,82893
2026-06-22,77849
2026-06-23,75080
2026-06-24,74943
2026-06-25,75065
2026-06-26,74528
2026-06-29,73289
2026-06-30,74617
2026-07-01,73569
2026-07-02,70079
2026-07-03,68472
2026-07-06,64172
2026-07-07,60371
2026-07-08,57336
2026-07-09,53849
2026-07-10,48410
2026-07-13,47158
2026-07-14,44697
2026-07-15,43944
2026-07-16,42894
2026-07-17,39652
2026-07-20,35091
2026-07-21,33415
2026-07-22,32539
2026-07-23,31184
2026-07-24,28668
2026-07-27,27024
2026-07-28,26924
2026-07-29,26161
2026-07-30,25737
2026-07-31,25563
2026-08-03,25138
2026-08-04,24907
2026-08-05,23727
2026-08-06,23427
2026-08-07,22977
2026-08-10,23052
2026-08-11,23178
2026-08-12,24131
2026-08-13,27208
2026-08-14,33676
2026-08-17,55292
2026-08-18,58121
2026-08-19,56698
2026-08-20,53079
2026-08-21,46105
2026-08-24,41103
2026-08-25,38619
2026-08-26,34591
2026-08-27,32213
2026-08-28,31462
2026-08-31,30340
2026-09-01,29766
2026-09-02,29517
2026-09-03,27558
2026-09-04,25781
